IBOV - Carteira do Dia 02/05/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON  ED  NM;235.665.566;0,367;
ALOS3;ALLOS;ON  ED  NM;532.616.595;0,499;
ALPA4;ALPARGATAS;PN      N1;176.733.968;0,079;
ABEV3;AMBEV S/A;ON;4.394.245.879;2,533;
ARZZ3;AREZZO CO;ON      NM;62.305.891;0,153;
ASAI3;ASSAI;ON      NM;1.349.217.892;0,840;
AZUL4;AZUL;PN      N2;327.593.725;0,152;
B3SA3;B3;ON      NM;5.602.790.110;2,868;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,026;
BBDC3;BRADESCO;ON      N1;1.500.728.902;0,880;
BBDC4;BRADESCO;PN      N1;5.146.576.868;3,418;
BRAP4;BRADESPAR;PN  ED  N1;251.003.438;0,237;
BBAS3;BRASIL;ON      NM;2.841.898.224;3,697;
BRKM5;BRASKEM;PNA     N1;265.877.867;0,269;
BRFS3;BRF SA;ON  ATZ NM;1.677.525.446;1,343;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,823;
CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,283;
CCRO3;CCR SA;ON      NM;995.335.937;0,582;
CMIG4;CEMIG;PN  EDB N1;1.868.640.510;0,866;
CIEL3;CIELO;ON      NM;1.095.462.329;0,290;
COGN3;COGNA ON;ON      NM;1.814.920.980;0,187;
CPLE6;COPEL;PNB ED  N2;1.679.335.290;0,724;
CSAN3;COSAN;ON  ATZ NM;1.168.097.881;0,804;
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,284;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,260;
CVCB3;CVC BRASIL;ON      NM;525.582.771;0,050;
CYRE3;CYRELA REALT;ON  ED  NM;265.784.616;0,256;
DXCO3;DEXCO;ON      NM;302.768.240;0,104;
ELET3;ELETROBRAS;ON  ED  N1;1.980.568.384;3,557;
ELET6;ELETROBRAS;PNB ED  N1;268.544.014;0,529;
EMBR3;EMBRAER;ON      NM;734.632.705;1,163;
ENGI11;ENERGISA;UNT     N2;326.511.683;0,699;
ENEV3;ENEVA;ON      NM;1.579.130.168;0,927;
EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,495;
EQTL3;EQUATORIAL;ON  EDS NM;1.112.299.356;1,590;
EZTC3;EZTEC;ON      NM;91.514.307;0,060;
FLRY3;FLEURY;ON      NM;240.822.651;0,165;
GGBR4;GERDAU;PN      N1;1.342.230.607;1,163;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,331;
NTCO3;GRUPO NATURA;ON      NM;846.244.302;0,666;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,143;
HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,769;
HYPE3;HYPERA;ON  EJ  NM;409.490.388;0,574;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,216;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,165;
ITSA4;ITAUSA;PN      N1;5.372.783.971;2,437;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.593.832;7,140;
JBSS3;JBS;ON      NM;1.134.986.472;1,262;
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,773;
RENT3;LOCALIZA;ON      NM;853.202.347;1,985;
LREN3;LOJAS RENNER;ON      NM;951.329.770;0,692;
LWSA3;LWSA;ON      NM;393.173.139;0,085;
MGLU3;MAGAZ LUIZA;ON      NM;3.142.317.573;0,203;
MRFG3;MARFRIG;ON      NM;331.799.687;0,149;
BEEF3;MINERVA;ON      NM;261.036.182;0,076;
MRVE3;MRV;ON  ATZ NM;376.187.582;0,119;
MULT3;MULTIPLAN;ON      N2;268.505.432;0,292;
PCAR3;P.ACUCAR-CBD;ON      NM;379.430.826;0,053;
PETR3;PETROBRAS;ON  EDR N2;2.379.877.655;4,997;
PETR4;PETROBRAS;PN  EDR N2;4.566.445.852;9,103;
RECV3;PETRORECSA;ON  ED  NM;275.005.663;0,284;
PRIO3;PETRORIO;ON      NM;800.010.734;1,822;
PETZ3;PETZ;ON  ED  NM;309.729.428;0,069;
RADL3;RAIADROGASIL;ON      NM;1.275.798.515;1,548;
RAIZ4;RAIZEN;PN      N2;1.193.047.233;0,173;
RDOR3;REDE D OR;ON      NM;1.168.230.366;1,441;
RAIL3;RUMO S.A.;ON  ED  NM;1.218.352.541;1,160;
SBSP3;SABESP;ON  EJ  NM;340.001.799;1,304;
SANB11;SANTANDER BR;UNT EJ;342.918.449;0,470;
SMTO3;SAO MARTINHO;ON      NM;142.377.330;0,193;
CSNA3;SID NACIONAL;ON;600.865.451;0,397;
SLCE3;SLC AGRICOLA;ON  ED  NM;195.751.130;0,170;
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,896;
TAEE11;TAESA;UNT     N2;218.568.234;0,365;
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,950;
TIMS3;TIM;ON      NM;807.896.814;0,675;
TOTS3;TOTVS;ON      NM;514.122.351;0,672;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,469;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,332;
USIM5;USIMINAS;PNA ED  N1;515.117.391;0,193;
VALE3;VALE;ON      NM;4.196.924.316;12,602;
VAMO3;VAMOS;ON      NM;421.383.330;0,142;
VBBR3;VIBRA;ON      NM;1.114.412.532;1,240;
WEGE3;WEG;ON      NM;1.481.593.024;2,780;
YDUQ3;YDUQS PART;ON  ED  NM;289.347.914;0,201;
Quantidade Teórica Total;;;98.702.477.062;100,000
Redutor;;;16.739.013,44760370
